"Source:","C:\Users\Tienda\Documents\Projects\LHR\BPS-AmperesPCB\BPS-Amperes.kicad_sch"
"Date:","10/9/2022 4:01:59 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","55"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","Mouser#"
"10","1","D1","PowerOn","Device:LED","LED_SMD:LED_0805_2012Metric","~","APTD2012LCGCK",""
"11","1","D2","D_Schottky","Device:D_Schottky","Diode_SMD:D_0805_2012Metric","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb061qs-20-e.pdf","","RB061QS-20T18R"
"12","1","D3","3.0V±0.05","Device:D_Zener","Diode_SMD:D_0805_2012Metric","https://www.mouser.com/datasheet/2/916/BZT52H_Q_SER-2721682.pdf","BZT52H-A3V0-QX",""
"13","2","FB1, FB2","FerriteBead_Small","Device:FerriteBead_Small","Inductor_SMD:L_0805_2012Metric","https://www.mouser.com/ProductDetail/963-BK2125LM182-T","",""
"14","4","H1, H2, H3, H4","M3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","",""
"15","1","J1","ShuntConn","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal","~","",""
"16","1","J2","LeaderConn","Connector_Generic:Conn_01x04","Connector_Molex:Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical","~","",""
"17","1","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"18","1","LOGO1","Dr Hallock","utsvt-misc:Logo_Placeholder","UTSVT_Special:Hallock_Image_Tiny","","",""
"19","1","LOGO2","UTSVT Logo","utsvt-misc:Logo_Placeholder","UTSVT_Special:UTSVT_Logo_Symbol","","",""
"20","2","R1, R3","1.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"21","1","R2","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K50JNEB",""
